source_path,source_type,source_status,outcome,destination,status_code,owner,reason,needs_client_decision,evidence
/author/prosporter-com-au,author_archive,publish,410,,410,nextjs,author archives retired; the storefront blog has a single flat index,false,system URL (WooCommerce/WordPress convention); sitemap:author-sitemap.xml
/blog/feed,feed,publish,410,,410,nextjs,RSS blog page feed retired; the storefront publishes no feeds,false,WordPress feed convention
/category/blog/feed,feed,publish,410,,410,nextjs,RSS post category feed retired; the storefront publishes no feeds,false,WordPress feed convention
/category/conditioner/feed,feed,publish,410,,410,nextjs,RSS post category feed retired; the storefront publishes no feeds,false,WordPress feed convention
/category/gel/feed,feed,publish,410,,410,nextjs,RSS post category feed retired; the storefront publishes no feeds,false,WordPress feed convention
/category/moisturizers/feed,feed,publish,410,,410,nextjs,RSS post category feed retired; the storefront publishes no feeds,false,WordPress feed convention
/category/shaving/feed,feed,publish,410,,410,nextjs,RSS post category feed retired; the storefront publishes no feeds,false,WordPress feed convention
/category/uncategorized/feed,feed,publish,410,,410,nextjs,RSS post category feed retired; the storefront publishes no feeds,false,WordPress feed convention
/category/waxes/feed,feed,publish,410,,410,nextjs,RSS post category feed retired; the storefront publishes no feeds,false,WordPress feed convention
/comments/feed,feed,publish,410,,410,nextjs,RSS site comments feed retired; the storefront publishes no feeds,false,WordPress feed convention
/feed,feed,publish,410,,410,nextjs,RSS site feed retired; the storefront publishes no feeds,false,WordPress feed convention
/shop-sporter/feed,feed,publish,410,,410,nextjs,RSS shop page feed retired; the storefront publishes no feeds,false,WordPress feed convention
/tag/acrylic/feed,feed,publish,410,,410,nextjs,RSS post tag feed retired; the storefront publishes no feeds,false,WordPress feed convention
/tag/depilation/feed,feed,publish,410,,410,nextjs,RSS post tag feed retired; the storefront publishes no feeds,false,WordPress feed convention
/tag/kits/feed,feed,publish,410,,410,nextjs,RSS post tag feed retired; the storefront publishes no feeds,false,WordPress feed convention
/tag/nail/feed,feed,publish,410,,410,nextjs,RSS post tag feed retired; the storefront publishes no feeds,false,WordPress feed convention
/tag/paste/feed,feed,publish,410,,410,nextjs,RSS post tag feed retired; the storefront publishes no feeds,false,WordPress feed convention
/tag/polish/feed,feed,publish,410,,410,nextjs,RSS post tag feed retired; the storefront publishes no feeds,false,WordPress feed convention
/tag/preparations/feed,feed,publish,410,,410,nextjs,RSS post tag feed retired; the storefront publishes no feeds,false,WordPress feed convention
/tag/shades/feed,feed,publish,410,,410,nextjs,RSS post tag feed retired; the storefront publishes no feeds,false,WordPress feed convention
/tag/system/feed,feed,publish,410,,410,nextjs,RSS post tag feed retired; the storefront publishes no feeds,false,WordPress feed convention
/?page_id=250,internal_link,publish,301,/contact,308,nextjs,"legacy ?page_id link resolved to the page's canonical path; query-only source needs a `has` query matcher, so it is not in redirects.json",false,internal link x1
/,page,publish,same_url,/,200,nextjs,"home page, path preserved",false,exports/pages.json; sitemap:page-sitemap.xml; menu_items.json; internal link x11
/1687-2,page,publish,client_decision,,,none,untitled duplicate page containing only WooCommerce filter widgets; client to confirm retirement,true,exports/pages.json; sitemap:page-sitemap.xml
/?page_id=1692,page,draft,client_decision,,,none,draft page with no slug and no public path; query-only legacy URL cannot be matched by a path redirect,true,exports/pages.json
/?page_id=2535,page,draft,client_decision,,,none,draft page with no slug and no public path; query-only legacy URL cannot be matched by a path redirect,true,exports/pages.json
/?page_id=3276,page,draft,client_decision,,,none,draft page with no slug and no public path; query-only legacy URL cannot be matched by a path redirect,true,exports/pages.json
/about,page,publish,same_url,/about,200,nextjs,"content page, path preserved",false,exports/pages.json; sitemap:page-sitemap.xml; menu_items.json; internal link x11
/blog,page,publish,same_url,/blog,200,nextjs,"blog index, path preserved",false,"exports/pages.json; sitemap:post-sitemap.xml,product-sitemap.xml; menu_items.json"
/blog-2,page,publish,301,/blog,308,nextjs,duplicate '-2' page -> canonical sibling,false,exports/pages.json; sitemap:page-sitemap.xml
/cancel-request-form,page,publish,410,,410,nextjs,"RMA plugin form; archive only, no Shopify equivalent",false,exports/pages.json; sitemap:page-sitemap.xml
/cart,page,publish,410,,410,shopify,WooCommerce cart retired; the cart is a storefront drawer and checkout is Shopify-hosted (Shopify owns the checkout path),false,exports/pages.json; system URL (WooCommerce/WordPress convention); menu_items.json
/cart-2,page,publish,410,,410,shopify,duplicate of the retired WooCommerce cart page,false,exports/pages.json; sitemap:page-sitemap.xml
/checkout,page,publish,410,,410,shopify,checkout moves to Shopify-hosted checkout (Shopify owns the path),false,exports/pages.json; system URL (WooCommerce/WordPress convention); menu_items.json; internal link x1
/checkout-2,page,publish,410,,410,shopify,duplicate of the retired checkout page,false,exports/pages.json; sitemap:page-sitemap.xml
/collections,page,publish,301,/shop,308,nextjs,thin brand 'collections' page -> Shop All (nearest genuine listing),false,exports/pages.json; sitemap:page-sitemap.xml
/contact,page,publish,same_url,/contact,200,nextjs,"content page, path preserved",false,exports/pages.json; sitemap:page-sitemap.xml; menu_items.json; internal link x11
/exchange-request-form,page,publish,410,,410,nextjs,"RMA plugin form; archive only, no Shopify equivalent",false,exports/pages.json; sitemap:page-sitemap.xml
/faq,page,publish,same_url,/faq,200,nextjs,"content page, path preserved",false,exports/pages.json; sitemap:page-sitemap.xml; menu_items.json; internal link x11
/guest-request-form,page,publish,410,,410,nextjs,"RMA plugin form; archive only, no Shopify equivalent",false,exports/pages.json; sitemap:page-sitemap.xml
/knee-pads,page,publish,301,/shop/accessories,308,nextjs,knee-pad landing page; protective gear folded into Accessories,false,exports/pages.json; sitemap:page-sitemap.xml
/my-account,page,publish,410,,410,shopify,customer accounts move to Shopify-hosted new customer accounts (Shopify owns the path),false,exports/pages.json; system URL (WooCommerce/WordPress convention); menu_items.json
/my-account-2,page,publish,410,,410,shopify,duplicate of the retired my-account page,false,exports/pages.json; sitemap:page-sitemap.xml
/privacy-policy,page,publish,same_url,/privacy-policy,200,nextjs,"policy page, path preserved",false,exports/pages.json; sitemap:page-sitemap.xml; internal link x11
/refund-policy,page,publish,same_url,/refund-policy,200,nextjs,"policy page, path preserved",false,exports/pages.json; sitemap:page-sitemap.xml; internal link x11
/refund-request-form,page,publish,410,,410,nextjs,"RMA plugin form; archive only, no Shopify equivalent",false,exports/pages.json; sitemap:page-sitemap.xml
/shop-sporter,page,publish,301,/shop,308,nextjs,legacy WooCommerce shop base -> Shop All,false,exports/pages.json; sitemap:page-sitemap.xml; menu_items.json; internal link x3
/size-guide,page,publish,same_url,/size-guide,200,nextjs,"content page, path preserved",false,exports/pages.json; sitemap:page-sitemap.xml; menu_items.json
/terms-of-service,page,publish,same_url,/terms-of-service,200,nextjs,"policy page, path preserved",false,exports/pages.json; sitemap:page-sitemap.xml; internal link x11
/view-order-msg,page,publish,410,,410,nextjs,empty RMA plugin page,false,exports/pages.json; sitemap:page-sitemap.xml
/wishlist,page,publish,410,,410,nextjs,Wishlist plugin excluded from migration by data evidence (audit README),false,exports/pages.json; sitemap:page-sitemap.xml; system URL (WooCommerce/WordPress convention); sitemap:page-sitemap.xml
/wishlist-2,page,publish,410,,410,nextjs,duplicate of the retired wishlist page,false,exports/pages.json; sitemap:page-sitemap.xml
/109,post,publish,client_decision,,,none,numeric post slug with no title-derived handle; client to approve a clean /blog/<slug> handle or retirement,true,exports/posts.json; sitemap:post-sitemap.xml
/a-guide-to-choosing-the-right-sport-merchant,post,publish,301,/blog/a-guide-to-choosing-the-right-sport-merchant,308,nextjs,post handle preserved under the /blog prefix,false,exports/posts.json; sitemap:post-sitemap.xml
/authentic-brands,post,publish,301,/blog/authentic-brands,308,nextjs,"post handle preserved under the /blog prefix; theme demo content unrelated to ProSporter - recommend retirement, client to confirm",true,exports/posts.json; sitemap:post-sitemap.xml
/choosing-the-right-sport-merchant-for-your-needs,post,publish,301,/blog/choosing-the-right-sport-merchant-for-your-needs,308,nextjs,post handle preserved under the /blog prefix,false,exports/posts.json; sitemap:post-sitemap.xml
/ethical-skin-care,post,publish,301,/blog/ethical-skin-care,308,nextjs,"post handle preserved under the /blog prefix; theme demo content unrelated to ProSporter - recommend retirement, client to confirm",true,exports/posts.json; sitemap:post-sitemap.xml
/everything-about-skin,post,publish,301,/blog/everything-about-skin,308,nextjs,"post handle preserved under the /blog prefix; theme demo content unrelated to ProSporter - recommend retirement, client to confirm",true,exports/posts.json; sitemap:post-sitemap.xml
